row_number,reasons,Case Number,Address,Date & Time,Offense Description,Case Disposition,PD District
19730,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00302992,1932 MARTIN LUTHER KING J9R/3,D0/R2021 at 19:38,THEFT,CWRU,
19747,'Offense Description' garbled text (embedded symbol),2021-00302921,3676 E 142ND ST,9/30/2021 at 18:00,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
19766,'Case Disposition' garbled/scrambled text,2021-00302716,3870 W 25TH ST,9/30/2021 at 15:12,IMPERSONATING PEACE OFFICPERRO,OSRE CPURTIVOART'ES POOFLFIICCEEMAN,2
19810,'Offense Description' garbled text (embedded symbol),2021-00307565,5997 ENGEL AVE,9/30/2021 at 7:30,INTERFERENCE WITH CUSTOD*YCOMPLAINANT REF TO PROSECUT3OR,,
19821,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00303256,E 101ST ST & NEWTOWN AV9E/30/2021 at 5:00,,CRIMINAL DAMAGING OR ENDA*NNGOE,PRAINPEGRS - N.F.I.L.,3
19822,'Case Disposition' garbled/scrambled text,2021-00302229,14225 SYLVIA AVE,9/30/2021 at 4:44,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
19904,'Case Disposition' garbled/scrambled text,2021-00301675,12520 CORNADO AVE,9/29/2021 at 16:18,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT5OR,
19940,'Offense Description' garbled/scrambled text,2021-00301436,15505 KIPLING AVE,9/29/2021 at 11:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
20007,'Offense Description' garbled text (embedded symbol); 'Case Disposition' garbled/scrambled text,2021-00302407,13216 WILTON AVE,9/28/2021 at 21:00,BREAKING & ENTERING _ THEFRTE/FFEELRORNEYD,"U TNOO GCRCAUNPDIE JDU SRTYRUCTU1RE,FORCE/STEALTH/DECEPTION.",
20017,'Case Disposition' garbled/scrambled text,2021-00300856,3468 E 118TH ST,9/28/2021 at 19:55,"FELONIOUS ASSAULT - HANDS,* FCIHSATRS,G","FEEDE /T FSE, LEOTCNY",4
20025,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2021-00300799,E.22ND ST & COMMUNITY C9O/2L8L/E2G02E1,A aVt E18:00,CRISIS INTERVENTION,,3
20089,'Case Disposition' garbled/scrambled text,2021-00300067,3339 W 90TH ST,9/28/2021 at 4:00,IMP DISCH FIREARM AT OR INTORE HFAEBRITRAETDIO,TNO OGRR ASNCDH OJUORLY,1
20131,'Offense Description' garbled/scrambled text,2021-00299755,1919 E 55TH ST,9/27/2021 at 19:45,"BURGLARY _ TRESPASS OCCPED STRCTRE, SEPARATELY SEC STCRMCTHRAE, OR SPRTLY OCCPD PRTN",,
20171,'Case Disposition' garbled/scrambled text,2021-00299449,3250 E 55TH ST,9/27/2021 at 15:30,VIOLATING PROTECTION ORDERRE,OLART CEODN CSAESNET AGREEMENT,3
20182,'Case Disposition' garbled/scrambled text,2021-00323466,1061 E 72ND ST,9/27/2021 at 14:00,BREAKING & ENTERING _ THEF*TN/OFE,"PLAOPNEYR USN - ONC.FC.IU.LP. IED STRUCTU5RE,FORCE/STEALTH/DECEPTION.",
20193,'Case Disposition' garbled/scrambled text,2021-00299268,7728 ELTON AVE,9/27/2021 at 13:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - VOIRC TSICMH NO.FO.LI.L.,2
20214,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00299144,13933 LAKEWOOD HEIGHTS 9B/L2V7D/2021 at 10:57,,PETTY THEFT SHOPLIFTING,,1
20297,'Case Disposition' garbled/scrambled text,2021-00298644,11420 ST MARK AVE,9/26/2021 at 20:32,DISSEMINATING MATTER HARMRFEUFLE,TROR JEUDV TEON IJLUEVSENILE COURT,1
20316,'Case Disposition' garbled/scrambled text,2021-00298500,10505 JOAN AVE,9/26/2021 at 17:50,CRIMINAL TRESPASSING-VACAN*CTO,VMAPNLDAAINLIAZNETD RBEUFIL TDOIN PGROSECUT1OR,
20320,'Offense Description' garbled text (embedded symbol),2021-00301246,W 9TH ST,9/26/2021 at 17:35,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,
20372,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00298203,13933 LAKEWOOD HEIGHTS 9B/L2V6D/2021 at 11:00,,PETTY THEFT,,1
20392,'Offense Description' garbled text (embedded symbol),2021-00298014,4030 E 131ST ST,9/26/2021 at 3:59,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
20394,'Case Disposition' garbled/scrambled text,2021-00298003,1254 E 86TH ST,9/26/2021 at 3:59,CARRYING CONCEALED WEAPO*CNO- MFAPILLA,TINOA PNRTO RMEPFT TLOY IPNRFOOSREMCUT5OR,
20395,'Offense Description' garbled/scrambled text,2021-00297987,E 115TH ST,9/26/2021 at 3:19,UNDERAGE POSSESSION/CONSUMPTION IN PUBLIC/PRIV PL,,3
20475,'Case Disposition' garbled/scrambled text,2021-00303036,1226 E 123RD ST,9/25/2021 at 14:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
20496,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00297309,E 9TH ST & CLEVELAND ME9M/2O5R/2IA02L 1S,aHtO 1R2:E0W0 AY,PROPERTY FOUND REPORT,,3
20509,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00297191,W 73RD ST & EDGEWATER D9/R25/2021 at 9:13,,PROPERTY FOUND REPORT,,2
20555,'Case Disposition' garbled/scrambled text,2021-00296921,3250 E 49TH ST,9/25/2021 at 0:34,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,3
20556,'Offense Description' garbled text (embedded symbol),2021-00296920,E 131ST ST,9/25/2021 at 0:33,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
20562,'Offense Description' garbled/scrambled text,2021-00309955,24999 MILES RD,9/25/2021 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,3
20619,'Case Disposition' garbled/scrambled text,2021-00296422,874 E 129TH ST,9/24/2021 at 16:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
20641,'Case Disposition' garbled/scrambled text,2021-00296285,1064 E 148TH ST,9/24/2021 at 14:03,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),5
20672,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00296225,3479 MARTIN LUTHER KING J9R/2,D4/R2021 at 9:34,INJURY TO PERSON,,4
20678,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00296035,3479 MARTIN LUTHER KING J9R/2,D4/R2021 at 9:00,CRISIS INTERVENTION,,4
20709,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2021-00295673,LEXINGTON AVE,9/23/2021 at 22:24,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,3
20718,'Case Disposition' garbled/scrambled text,2021-00295676,16541 BURNSIDE AVE,9/23/2021 at 22:00,VIOLATING PROTECTION ORDERRE,OLART CEODN CSAESNET AGREEMENT,5
20735,'Case Disposition' garbled/scrambled text,2021-00295620,8348 CARNEGIE AVE,9/23/2021 at 18:30,IMP DISCH FIREARM ON OR NE*ACRH,PARROGHEDIB I/T FEEDL OPNRYEMISES,3
20760,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00295296,4781 HINCKLEY INDUSTRIAL 9P/K23W/2Y021 at 14:59,,,,
20818,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2021-00294905,10406 SHAKER BLVD,9/23/2021 at 6:10,DOMESTIC VIOLENCE-KNOWIN*GNLOY PCAAPUESRES,O (RIN ASTUTFEFMICPITEENDT TEOVD),4
20823,'Case Disposition' garbled/scrambled text,2021-00295112,12211 CASTLEWOOD AVE,9/23/2021 at 4:30,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
20825,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00294863,2792 MARTIN LUTHER KING J9R/2,D3/R2021 at 4:05,CRIMINAL DAMAGING OR ENDANGERING,,4
20837,'Address' contains a date/time (leak?),2021-00302034,E 99TH ST & HAMPTON AVE9/22/2021 at 22:10,,FELONIOUS ASSAULT - FIREARMEXCEPTIONAL CLEARANCE,,5
20950,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00295054,2856 MARTIN LUTHER KING J9R/2,D2/R2021 at 0:00,CRIMINAL DAMAGING OR ENDANGERING,,4
20954,'Case Disposition' garbled/scrambled text,2021-00293689,3219 W 61ST ST,9/22/2021 at 0:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,2
20959,'Offense Description' garbled text (embedded symbol),2021-00293665,1580 E 31ST ST,9/21/2021 at 23:31,POSSESSION DRUG PARAPHEN*CAHLIAARGED / MISDEMEANOR,,3
20961,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00293657,4781 HINCKLEY INDUSTRIAL 9P/K21W/2Y021 at 23:22,,,,
20967,'Offense Description' garbled text (embedded symbol),2021-00293618,E 80TH ST,9/21/2021 at 22:32,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
20984,'Case Disposition' garbled/scrambled text,2021-00293484,1721 E 33RD ST,9/21/2021 at 19:52,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),3
21002,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2021-00293389,3534 E 114TH ST,9/21/2021 at 17:49,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,4
21008,'Case Disposition' garbled/scrambled text,2021-00294429,740 W SUPERIOR AVE,9/21/2021 at 17:25,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT3OR,
21067,'Case Disposition' garbled/scrambled text,2021-00292747,1893 E 82ND ST,9/21/2021 at 5:21,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,3
21075,'Case Disposition' garbled/scrambled text,2021-00295855,1580 E 31ST ST,9/21/2021 at 3:06,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,3
21085,'Case Disposition' garbled/scrambled text,2021-00292659,12905 BENWOOD AVE,9/21/2021 at 0:57,CARRYING CONCEALED WEAPOACNT-,IFVAEIL TO INFORM-AND ORDE,4
21087,'Offense Description' garbled text (embedded symbol),2021-00292662,2880 E 55TH ST,9/21/2021 at 0:43,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
21096,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2021-00292684,2500 METRO HEALTH DR,9/20/2021 at 23:02,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,2
21163,'Case Disposition' garbled/scrambled text,2021-00292031,3523 CECILIA AVE,9/20/2021 at 13:40,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,2
21189,'Address' contains a date/time (leak?),2021-00294084,E 86TH ST & SUPERIOR AVE9/20/2021 at 11:00,,MENACING,,3
21201,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00291790,OUTHWAITE AVE & E 50TH S9T/20/2021 at 9:28,,PROPERTY FOUND REPORT,,3
21264,'Case Disposition' garbled/scrambled text,2021-00291422,ST CLAIR AVE,9/19/2021 at 21:45,DR UNDER THE INFLUENCE OFP ARLOCSOEHCOULT,AONRD'S O ORF DFIRCUEGS,5
21279,'Offense Description' garbled/scrambled text,2021-00291272,8701 FOLSOM AVE,9/19/2021 at 19:00,RECOVERED VEH/PROPERTY NON-CRIME,,3
21284,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2021-00291223,5103 DETROIT AVE,9/19/2021 at 18:30,DOMESTIC VIOLENCE-KNOWIN*GNLOY PCAAPUESRES,O (RIN ASTUTFEFMICPITEENDT TEOVD),2
21331,'Case Disposition' garbled/scrambled text,2021-00290936,3801 NEWARK AVE,9/19/2021 at 12:30,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,2
21352,'Offense Description' garbled/scrambled text,2021-00290799,ROBERT CT,9/19/2021 at 9:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
21448,'Case Disposition' garbled/scrambled text,2021-00290301,13301 COURTLAND AVE,9/18/2021 at 17:52,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,1
21450,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2021-00290076,LEE & E 161ST ST,9/18/2021 at 17:38,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,4
21480,'Case Disposition' garbled/scrambled text,2021-00289846,15903 HUNTMERE AVE,9/18/2021 at 13:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
21532,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00289451,W28TH ST & WASHINGTON A9/V1E8/2021 at 3:35,,MURDER,,2
21536,'Offense Description' garbled/scrambled text,2021-00289454,11306 HESSLER RD,9/18/2021 at 1:24,UNDERAGE POSSESSION/CONSUMPTION IN PUBLIC/PRIV PL,CWRU,
21573,'Case Disposition' garbled/scrambled text,2021-00289103,601 E 152ND ST,9/17/2021 at 21:00,DUI-DRIVING WHILE UNDER TH*EN ION FPLAUPEENRCSE,- OCFA SAEL CCOLHROD LF OOR PRO5S,
21651,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00299016,4781 HINCKLEY INDUSTRIAL 9P/K17W/2Y021 at 11:00,,ACTIVE,,2
21656,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00288426,11731 MOUNT OVERLOOK AV9E/17/2021 at 10:29,,,,4
21673,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00288354,E 114TH ST & SUPERIOR AV9E/17/2021 at 9:00,,MOTOR VEHICLE THEFT - GTMV,,5
21679,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2021-00290086,7600 CLEVELAND MEMORIAL,9 S/1H7R/2W02A1Y a Wt 8:00,"FELONIOUS ASSAULT - HANDS,* FNIOS TPSA,P","FEEREST S(I,N ESTUCFFICIENT EVD)",2
21703,'Case Disposition' garbled/scrambled text,2021-00288093,DETROIT & W 110,9/17/2021 at 0:19,IMPROPERLY HANDLING FIREARREMFSE,IRNR AE MD OTTOO GRR VAENHDI CJLUERY,1
21770,'Case Disposition' garbled/scrambled text,2021-00287468,4353 W 48TH ST,9/16/2021 at 13:30,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,2
21822,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00287033,4781 HINCKLEY INDUSTRIAL 9P/K16W/2Y021 at 2:32,,,,
21825,'Case Disposition' possible overlapping text,2021-00287492,13901 GLENDALE AVE,9/16/2021 at 2:00,"SEXUAL IMPOSITION _ VICTIM 1*3N,O","1 4P,A 1P5ERS - VICTIM N.F.I.L.",4
21828,'Case Disposition' garbled/scrambled text,2021-00287055,12105 PHILLIPS AVE,9/16/2021 at 1:55,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,5
21836,'Case Disposition' garbled/scrambled text,2021-00286941,CEDAR AVE,9/15/2021 at 23:49,IMPROPERLY HANDLING FIREARREMFSE,IRNR AE MD OTTOO GRR VAENHDI CJLUERY,3
21837,'Offense Description' garbled text (embedded symbol),2021-00286936,I 90 E & EDDY RD,9/15/2021 at 23:40,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,5
21843,'Case Disposition' garbled/scrambled text,2021-00286918,1300 W 9TH ST,9/15/2021 at 22:55,CRIMINAL DAMAGING OR ENDA*NNGOE,PRAINPEGRS - VICTIM N.F.I.L.,3
21922,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00286282,13933 LAKEWOOD HEIGHTS 9B/L1V5D/2021 at 12:34,,PETTY THEFT,,1
21929,'Case Disposition' garbled/scrambled text,2021-00333745,2514 TAMPA AVE,9/15/2021 at 12:00,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,2
21941,'Case Disposition' garbled/scrambled text,2021-00286209,3108 DAISY AVE,9/15/2021 at 11:20,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),2
22004,'Case Disposition' garbled/scrambled text,2021-00285746,4429 W 30TH ST,9/14/2021 at 23:50,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,2
22005,'Case Disposition' garbled/scrambled text,2021-00285767,3550 W 117TH ST,9/14/2021 at 23:40,"FELONIOUS ASSAULT - HANDS,* FCIHSATRS,G","FEEDE /T FSE, LEOTCNY",1
22074,'Offense Description' garbled/scrambled text,2021-00285137,12605 LANCELOT AVE,9/14/2021 at 14:30,RECOVERED VEH/PROPERTY NON-CRIME,,5
22114,'Offense Description' garbled text (embedded symbol),2021-00284913,KINSMAN RD,9/14/2021 at 11:10,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
22159,'Offense Description' garbled text (embedded symbol),2021-00284516,WORLEY AVE,9/14/2021 at 1:00,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
22161,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2021-00284484,11810 MARTIN LUTHER KING 9,J/R14 D/2R021 at 0:29,SUDDEN ILLNESS,,4
22168,'Case Disposition' garbled/scrambled text,2021-00284681,1442 E 176TH ST,9/14/2021 at 0:00,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT5OR,
22176,'Case Disposition' garbled/scrambled text,2021-00284428,1497 LARCHMONT RD,9/13/2021 at 23:25,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
22211,'Case Disposition' garbled/scrambled text,2021-00284228,1140 DALLAS RD,9/13/2021 at 19:55,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
22217,'Case Disposition' garbled/scrambled text,2021-00284227,19101 KEWANEE AVE,9/13/2021 at 19:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
22219,'Offense Description' garbled text (embedded symbol),2021-00284176,E 111TH ST,9/13/2021 at 19:00,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,5
22260,'Case Disposition' garbled/scrambled text,2021-00283862,4300 BRADLEY RD,9/13/2021 at 14:13,IMPROPERLY HANDLING FIREARREMFSE,IRNR AE MD OTTOO GRR VAENHDI CJLUERY,2
22266,'Offense Description' garbled text (embedded symbol),2021-00283893,6301 LORAIN AVE,9/13/2021 at 14:00,CARRYING CONCEALED WEAPO*CNHSARGED / MISDEMEANOR,,2
22339,'Offense Description' garbled text (embedded symbol),2021-00283273,W 89TH ST,9/12/2021 at 23:01,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,1
22369,'Case Disposition' garbled/scrambled text,2021-00283041,882 E 149TH ST,9/12/2021 at 18:01,IMP DISCH FIREARM AT OR INTO*C HHAABRIGTAETDIO,/ NFE OLRO NSYCHOOL,5
22391,'Offense Description' garbled/scrambled text,2021-00282798,E 73RD ST,9/12/2021 at 13:50,RECOVERED VEH/PROPERTY NON-CRIME,,4
22402,'Offense Description' garbled/scrambled text,2021-00296545,1125 E 143RD ST,9/12/2021 at 12:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
22429,'Offense Description' garbled/scrambled text,2021-00282518,E 105TH ST,9/12/2021 at 8:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
22466,'Case Disposition' garbled/scrambled text,2021-00282371,3496 W 127TH ST,9/12/2021 at 1:15,"FELONIOUS ASSAULT - HANDS,R FEISFTESR,R","FEEDE TTSO, GERTCAND JURY",1
22519,'Offense Description' garbled/scrambled text,2021-00282005,4263 E 163RD ST,9/11/2021 at 20:30,RECOVERED VEH/PROPERTY NON-CRIME,,4
22645,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00282642,3165 MARTIN LUTHER KING J9R/1,D1/R2021 at 0:00,PROPERTY LOST REPORT,,4
22653,'Offense Description' garbled text (embedded symbol),2021-00281111,686 E 102ND ST,9/10/2021 at 23:33,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,5
22710,'Offense Description' garbled/scrambled text,2021-00284980,E 105TH ST,9/10/2021 at 16:00,"FELONIOUS ASSAULT - HANDS,W FAISRTRSA, NFET E- TSSU, SEPTECCT WANTED",,3
22718,'Case Disposition' garbled/scrambled text,2021-00283474,E 64TH ST,9/10/2021 at 15:30,BREAKING & ENTERING _ THEF*TN/OFE,"PLAOPNEYR USN - ONC.FC.IU.LP. IED STRUCTU4RE,FORCE/STEALTH/DECEPTION.",
22774,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00280246,3156 MARTIN LUTHER KING J9R/1,D0/R2021 at 7:00,PROPERTY FOUND REPORT,,4
22778,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00280177,4781 HINCKLEY INDUSTRIAL 9P/K10W/2Y021 at 3:08,,,,
22820,'Offense Description' garbled text (embedded symbol); 'Case Disposition' garbled/scrambled text,2021-00279897,6308 FLEET AVE,9/9/2021 at 20:23,POSSESSING CERTAIN WEAPO*NCSH,AATR OGRED A B/ FOEULTO PNUYBLIC PLACES,4
22833,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00279813,3090 MARTIN LUTHER KING J9R/9,D/2R021 at 18:00,AGGRAVATED MENACING,,4
22930,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2021-00279005,E 152ND ST,9/9/2021 at 2:00,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,5
22942,'Offense Description' garbled text (embedded symbol),2021-00278878,7601 E 76 ST,9/8/2021 at 23:28,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
22944,'Case Disposition' garbled/scrambled text,2021-00278845,6501 DENISON AVE,9/8/2021 at 22:56,FAILURE TO COMPLY WITH A LAWWAFRURLA,ONRTD -E SRUSPECT WANTED,2
22948,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00278819,ROCKY RIVER DR & PARKMO9U/8N/2T0,A2V1E at 22:27,CARRYING CONCEALED WEAPONS,,1
22970,'Case Disposition' garbled/scrambled text,2021-00278724,1364 E 125TH ST,9/8/2021 at 20:45,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
23007,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2021-00278469,CLEVELAND MEMORIAL SHR9W/8A/Y20,W21 at 16:45,DUI-UNDER THE INFLUENCE OF ALCOHOL AND/OR DRUGS,,2
23012,'Offense Description' garbled/scrambled text,2021-00279119,7629 BROADWAY AVE,9/8/2021 at 16:00,"BREAKING & ENTERING _ THEF*TC/HFEALROGNEYD U/ NFEOLCOCNUYPIED STRUCTU4RE,FORCE/STEALTH/DECEPTION.",,
23100,'Case Disposition' garbled/scrambled text,2021-00278472,13421 COIT RD,9/8/2021 at 0:01,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
23138,'Case Disposition' garbled/scrambled text,2021-00277425,3201 SARATOGA AVE,9/7/2021 at 18:31,DOMESTIC VIOLENCE-KNOWIN*GCLOYM,CPALUASINEA ONRT ARTETFE TMOP TPERDO TSOECUT2OR,
23166,'Address' contains a date/time (leak?),2021-00277153,MARTIN LUTHER KING JR DR9/7/2021 at 14:36,,CARRYING CONCEALED WEAPORENFSERRED TO GRAND JURY,,4
23177,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2021-00277086,3155 MARTIN LUTHER KING J9R/7,D/2R021 at 13:38,ROBBERY,*NO PAPERS (INSUFFICIENT EVD),4
23246,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2021-00276620,3939 COMMUNITY COLLEGE 9A/V7E/2021 at 0:59,,VANDALISM,,3
23247,'Case Disposition' garbled/scrambled text,2021-00276615,1252 E 111TH ST,9/7/2021 at 0:55,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
23256,'Offense Description' garbled/scrambled text,2021-00283147,E 112TH ST,9/7/2021 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,4
23275,'Case Disposition' garbled/scrambled text,2021-00278028,2227 PAYNE AVE,9/6/2021 at 21:30,"FELONIOUS ASSAULT - HANDS,* FCIOSMTSP,L","FAEINEATNS,T E RTECF TO PROSECUT3OR",
23300,'Case Disposition' garbled/scrambled text,2021-00276269,1038 E 74TH ST,9/6/2021 at 19:00,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),5
23316,'Case Disposition' garbled/scrambled text,2021-00276153,1215 W 3RD ST,9/6/2021 at 16:27,ILLEGAL CONVEYANCE OF DRURGESF,EORFR AEBDU STOE- DGERTAENNDT JIOUNR YME,3
23319,'Address' contains a date/time (leak?),2021-00277501,8000 MEMORIAL SHOREWAY9/6/2021 at 16:00,,DOMESTIC VIOLENCE,*CHARGED / MISDEMEANOR,1
23377,'Offense Description' garbled text (embedded symbol),2021-00275770,7711 EUCLID AVE,9/6/2021 at 4:30,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
23393,'Offense Description' garbled/scrambled text,2021-00275692,E 115TH ST,9/6/2021 at 0:43,"PURCHASE,CONSUMPTN OR POSSESSN BY MINOR:MISREPRESN",CWRU,
23410,'Case Disposition' garbled/scrambled text,2021-00275539,9306 AMESBURY AVE,9/5/2021 at 22:30,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN (I NOSRU SFCFHICOIEONLT EVD),3
23422,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2021-00275408,1949 GREEN RD,9/5/2021 at 20:00,DOMESTIC VIOLENCE-KNOWIN*GNLOY PCAAPUESRES,O (RIN ASTUTFEFMICPITEENDT TEOVD),5
23428,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2021-00303041,1059 OLD RIVER RD,9/5/2021 at 19:00,VIOLATING ANTI-STALKING PRO*TNEOC,PTAIOPNE ROSR -D UENRFOUNDED,3
23510,'Offense Description' garbled text (embedded symbol),2021-00274859,1400 CRESTLINE AVE,9/5/2021 at 2:45,DOMESTIC VIOLENCE-RECKLES*CSHLYARGED / FELONY,,2
23516,'Address' contains a date/time (leak?),2021-00274759,ONTARIO ST & S ROADWAY9/5/2021 at 2:15,,AGGRAVATED MENACING *NO PAPERS - VICTIM N.F.I.L.,,3
