_needs_review,_review_reason,CallID,When,Typ,Nature,P,Location,Cty
,,19C070609,21:18:13 08/06/19,f,ZZMedical Alert,1,2600 S MAIN ST; CORONA POST ACUTE; #26,COR
YES,'Nature' garbled text (embedded symbol),19C070610,21:18:38 08/06/19,f,ZZFaint/Uncons,1,310 REED CIR; U S CONTINENTAL MARKETING INC,COR
,,19C070611,21:25:16 08/06/19,l,911 Hangup,2,536 ALCOA CIR,COR
,,19C070612,21:30:35 08/06/19,f,ZZSick,1,1206 LIME ST,COR
,,19C070613,21:31:32 08/06/19,l,911 Hangup,2,1919 RAYMOR AVE,COR
,,19C070614,21:39:18 08/06/19,l,Area Check,3,4901 GREEN RIVER RD # 281,COR
,,19C070615,21:42:15 08/06/19,l,Property Check,4,400 N MAIN ST,COR
,,19C070616,21:42:29 08/06/19,l,Fire Code Vio,4,598 SANTANA WAY # #; SKATE PARK SANTANA PARK,COR
,,19C070617,21:43:57 08/06/19,l,Hazard,3,VALENCIA RD & RIMPAU AVE,COR
,,19C070618,21:44:11 08/06/19,l,Property Check,4,111 N LINCOLN AVE; ARCO AM PM,COR
,,19C070620,21:46:39 08/06/19,f,ZZFall,1,115 W RANCHO RD,COR
,,19C070621,21:47:31 08/06/19,l,Susp Person,3,3200 NELSON ST,COR
,,19C070622,21:49:43 08/06/19,l,Loud Party,3,2339 S COTA AVE,COR
,,19C070623,21:50:43 08/06/19,l,Property Check,4,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C070624,21:55:29 08/06/19,l,911 Hangup,2,526 MAGNOLIA AVE,COR
,,19C070625,21:55:36 08/06/19,l,911 Hangup,2,1717 VIA DEL RIO; IGLESIA CHURCH,COR
,,19C070626,21:55:45 08/06/19,l,Welfare Check,2,241 W RINCON ST; ARTISAN APTS;#422,COR
,,19C070627,22:03:19 08/06/19,l,Property Check,4,1130 W SIXTH ST; SUPERIOR MARKET,COR
,,19C070628,22:04:30 08/06/19,l,Hazard,3,1350 VALENCIA RD; ORANGE ELEMENTARY,COR
,,19C070629,22:08:43 08/06/19,l,Property Check,4,255 E RINCON ST; PRIMERICA FINANCIAL SERVICES,COR
YES,'Nature' garbled text (embedded symbol),19C070630,22:21:50 08/06/19,f,ZZFaint/Uncons,1,7901 MARILYN DR,ELC
,,19C070631,22:26:45 08/06/19,l,Loud Noise,3,2339 S COTA AVE ;2ND RESPNSE,COR
,,19C070632,22:29:21 08/06/19,lf,Welfare Check,2,312 E NINTH ST; VICTORIA PARK ;POSS DK TRANSIENT,COR
,,19C070633,22:29:23 08/06/19,l,Follow Up,4,784 PUBLIC SAFETY WAY,COR
,,19C070634,22:29:50 08/06/19,l,Patrol Info,4,N MCKINLEY ST & PROMENADE AVE,COR
,,19C070635,22:34:32 08/06/19,f,ZZMedical Alert,1,20150 LAYTON ST,ELC
,,19C070636,22:43:43 08/06/19,,,,BALSAM LN & RIDGEVIEW TERRACE,CRA
,,19C070637,22:45:03 08/06/19,l,Property Check,4,1811 S LINCOLN AVE; CORONA THANKSGIVING,COR
,,19C070638,22:51:22 08/06/19,l,Auto Theft Rec,4,1080 NIGHTCREST CIR,COR
,,19C070639,22:53:16 08/06/19,l,Susp Person,3,847 SHASTA DR,COR
,,19C070641,22:56:02 08/06/19,l,Traffic Stop,4,MAGNOLIA AVE & EL CAMINO AVE,COR
,,19C070643,23:01:13 08/06/19,l,Alarm Call,2,2005 S VICENTIA AVE; VICENTIA ELEMENTARY SCHOOL,COR
,,19C070644,23:04:19 08/06/19,l,911 Hangup,2,2585 S MAIN ST; SOUTH HILLS CHURCH,COR
,,19C070645,23:08:37 08/06/19,l,Traffic Stop,4,E FOOTHILL PKWY & S MAIN ST,COR
,,19C070646,23:13:05 08/06/19,l,911 Hangup,2,2585 S MAIN ST; SOUTH HILLS CHURCH,COR
,,19C070648,23:22:36 08/06/19,l,Property Check,4,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C070649,23:28:47 08/06/19,l,Property Check,4,2315 CALIFORNIA AVE; DYKSTRAS CAR WASH,COR
,,19C070650,23:33:52 08/06/19,l,Disturb Peace,3,2632 HUDSON AVE,COR
,,19C070651,23:38:10 08/06/19,l,Alarm Call,2,2867 SAMPSON AVE; YOUR PARTY SOLUTIONS INC,COR
,,19C070652,23:39:11 08/06/19,l,Property Check,4,1010 W CITRON ST; RANEY INTERMEDIATE SCHOOL,COR
,,19C070653,23:45:38 08/06/19,l,Vandalism,3,390 RICHEY CIR ;HILLS OF CORONA APTS,COR
,,19C070654,23:51:36 08/06/19,l,Alarm Call,2,710 E SIXTH ST; SILVER DOLLAR PANCAKE HSE INC,COR
,,19C070655,00:01:08 08/07/19,l,Robbery,1,1535 E ONTARIO AVE # 105; SOMBRERO MEXICAN FOOD,COR
,,19C070658,00:12:24 08/07/19,l,Suspicious Circ,3,1023 CIRCLE CITY DR # A; POSS ATT 459RESD,COR
,,19C070660,00:19:12 08/07/19,l,Patrol Info,4,14326 Schleisman Rd Eastvale ; 211 with gun,
,,19C070661,00:27:12 08/07/19,l,DV-Assault Past,3,3352 KENTUCKY LN,COR
,,19C070663,00:35:36 08/07/19,l,Area Check,3,1991 TALSHIRE LN ; rp req cont,COR
,,19C070664,00:36:07 08/07/19,l,Suspicious Circ,3,1023 CIRCLE CITY DR # A,COR
,,19C070665,00:49:26 08/07/19,l,911 Hangup,2,881 CORSICA DR,COR
,,19C070666,01:12:30 08/07/19,l,Assist Othr Dpt,3,1512 CLASSICO WAY ;AOD UC IRVINE PD,COR
,,19C070667,01:17:52 08/07/19,l,Property Check,4,2125 STAGECOACH DR; STAGECOACH PARK,COR
,,19C070668,01:18:42 08/07/19,l,Alarm Call,2,430 N MCKINLEY ST; 99 RANCH MARKET,COR
,,19C070669,01:31:11 08/07/19,l,Traffic Stop,4,RAILROAD ST & N SHERIDAN ST,COR
,,19C070670,01:34:32 08/07/19,l,911 Hangup,2,3100 S MAIN ST,COR
,,19C070671,01:35:22 08/07/19,f,ZZFall,1,2600 S MAIN ST ; #7,COR
,,19C070672,01:37:31 08/07/19,l,Property Check,4,1886 BUTTERFIELD DR; BUTTERFIELD PARK,COR
,,19C070673,02:12:48 08/07/19,l,Alarm Call,2,2867 SAMPSON AVE; YOUR PARTY SOL,COR
,,19C070674,02:15:08 08/07/19,l,Susp Person,3,1222 S SHERIDAN ST,COR
,,19C070675,02:48:55 08/07/19,l,Alarm Call,2,525 S MAPLE ST; UNITED RENTALS,COR
,,19C070676,02:55:50 08/07/19,l,Assist Othr Dpt,3,1402 ELGIN WAY,COR
,,19C070677,02:55:54 08/07/19,lf,Man Down,1,19793 GRANDVIEW DR,ELC
,,19C070678,03:37:52 08/07/19,f,ZZPregnancy,1,441 WELLESLEY DR # 102,COR
,,19C070679,03:53:32 08/07/19,l,Alarm Call,2,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C070680,03:55:01 08/07/19,l,911 Hangup,2,505 S BUENA VISTA AVE,COR
,,19C070681,05:00:54 08/07/19,l,911 Hangup,2,110 W UPPER DR; CFD 6,COR
,,19C070682,05:03:38 08/07/19,l,911 Hangup,2,2970 RIMPAU AVE,COR
,,19C070683,05:41:18 08/07/19,l,Alarm Call,2,109 N MAPLE ST # D; UBER DETAIL,COR
,,19C070684,05:41:46 08/07/19,f,ZZSeizure,1,412 W SEVENTH ST,COR
,,19C070685,05:42:16 08/07/19,l,Silent Comm 211,1,1029 RAILROAD ST;TRICAL INC,COR
,,19C070686,05:56:41 08/07/19,l,Alarm Call,2,1322 ARBORWOOD CIR,COR
,,19C070687,06:02:20 08/07/19,l,Alarm Call,2,1255 RIVER RD; AUBURNDALE INTERMEDIATE,COR
,,19C070688,06:02:27 08/07/19,l,Comm Burg Past,4,109 N MAPLE ST ; UBER DETAIL,COR
,,19C070689,06:05:54 08/07/19,l,Susp Person,3,211 W RINCON ST; ARTISAN APTS,COR
,,19C070690,06:05:58 08/07/19,l,Accident,2,800 S TEMESCAL ST;WASTE MANAGEMENT,COR
,,19C070691,06:17:20 08/07/19,l,Illegal Dumping,3,1693 RIMPAU AVE;COUTES HEATING AND COOLING,COR
,,19C070694,06:25:42 08/07/19,l,Alarm Call,2,375 KLUG CIR; CAPPUCCINE INC,COR
,,19C070696,06:29:51 08/07/19,l,Traffic Detail,4,1700 W ONTARIO AVE,COR
,,19C070697,06:47:22 08/07/19,l,911 Hangup,2,3950 S MAIN ST; ATT TOWER,COR
,,19C070699,06:57:26 08/07/19,l,Traffic Stop,4,CRESTA RD & TERMINO AVE,COR
,,19C070700,07:03:00 08/07/19,l,Follow Up,4,19751 KATY WAY,ELC
,,19C070702,07:24:10 08/07/19,l,911 Hangup,2,1054 E THIRD ST,COR
,,19C070703,07:24:19 08/07/19,l,Property Check,4,550 HIDDEN VALLEY PKWY; SCHOOLS FIRST CREDIT UNION,COR
,,19C070704,07:26:27 08/07/19,l,Found Property,4,1155 VALENCIA RD; JAMESON PARK,COR
,,19C070705,07:29:42 08/07/19,l,Property Check,4,175 E ONTARIO AVE # 101; MR YOU EXPRESS,COR
,,19C070707,07:40:45 08/07/19,l,Ped Check,4,N MCKINLEY ST & GRIFFIN WAY,COR
,,19C070708,07:42:44 08/07/19,l,Follow Up,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C070709,07:43:29 08/07/19,l,Traffic Stop,4,1454 CRESTA RD,COR
,,19C070710,07:47:55 08/07/19,l,Property Check,4,777 N TEMESCAL ST,COR
,,19C070711,07:49:41 08/07/19,l,Auto Tampr Past,4,1641 SAN ALMADA RD; LL CONT,COR
,,19C070713,07:52:13 08/07/19,l,Trespass,3,860 HOMESTEAD RD,COR
,,19C070714,08:00:53 08/07/19,l,Property Check,4,1550 E ONTARIO AVE; SHELL GAS,COR
,,19C070715,08:07:08 08/07/19,l,Traffic Detail,4,2800 PROMENADE AVE,COR
,,19C070717,08:09:20 08/07/19,l,Z-Animal AbuseP,4,1057 W EIGHTH ST,COR
,,19C070718,08:10:13 08/07/19,l,Ill Parked Veh,4,2026 CECILIA CIR; AFFINITY FLAVORS,COR
,,19C070719,08:11:41 08/07/19,l,Traffic Stop,4,BUCHANAN ST & MAGNOLIA AVE,RIV
,,19C070720,08:15:39 08/07/19,l,Additional Info,4,1694 BERYL LN ; FRONT COUNTER,COR
,,19C070721,08:23:58 08/07/19,l,Vandalism Past,4,E KENDALL ST & S MAIN ST; LL CONT,COR
,,19C070722,08:24:20 08/07/19,l,Public Service,3,956 AVENIDA DEL VISTA,COR
,,19C070723,08:25:39 08/07/19,l,Property Check,4,1031 W SIXTH ST; CORONA POA,COR
,,19C070725,08:35:56 08/07/19,l,Dist/Verbal,2,1057 W EIGHTH ST,COR
,,19C070726,08:36:06 08/07/19,l,Welfare Check,2,1537 PLAZA DE NOCHE # 8,COR
,,19C070727,08:37:15 08/07/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C070728,08:40:06 08/07/19,f,ZZ Fwy Burns,1,91 WB MAIN LINCOLN,COR
,,19C070729,08:40:24 08/07/19,l,Fraud Past,4,1137 BRADFORD CIR; 3V FASTENERS COMPANY INC ;FRONT COUNTER,COR
,,19C070730,08:43:46 08/07/19,l,911 Hangup,2,1717 VIA DEL RIO,COR
,,19C070732,08:53:42 08/07/19,l,Disturb Peace,3,1635 KELLOGG AVE; KELLOGG PARK,COR
,,19C070733,08:57:54 08/07/19,l,Traffic Stop,4,1122 RAILROAD ST,COR
,,19C070734,08:58:07 08/07/19,l,DV-Assault Past,3,3352 KENTUCKY LN ; FRONT COUNTER,COR
,,19C070735,08:58:28 08/07/19,l,Patrol Info,4,930 E SIXTH ST; CITY PARK,COR
,,19C070736,08:59:43 08/07/19,l,Traffic Stop,4,RAILROAD ST & N SHERIDAN ST,COR
,,19C070738,09:10:21 08/07/19,l,Property Check,4,3500 PALISADES DR,COR
,,19C070739,09:18:51 08/07/19,l,Welfare Check,2,1549 BORDER AVE # C,COR
,,19C070740,09:25:12 08/07/19,l,Keep The Peace,3,312 S WASHBURN AVE,COR
,,19C070741,09:32:56 08/07/19,l,Property Check,4,480 N MAIN ST; STARBUCKS,COR
,,19C070742,09:34:16 08/07/19,l,911 Hangup,2,2425 POMONA RD,COR
,,19C070743,09:37:50 08/07/19,l,Alarm Call,2,1225 QUIVERO CIR,COR
,,19C070744,09:43:17 08/07/19,l,Ill Parked Veh,4,1252 DORIS LN ; FIRE LANE,COR
,,19C070745,09:44:24 08/07/19,l,911 Hangup,2,598 SANTANA WAY; SANTANA PARK,COR
,,19C070746,09:44:26 08/07/19,l,911 Hangup,2,1220 W ONTARIO AVE,COR
,,19C070747,09:46:47 08/07/19,l,911 Hangup,2,857 AUTUMN LN,COR
,,19C070748,09:47:39 08/07/19,l,Property Check,4,2437 TUSCANY ST,COR
,,19C070749,09:49:03 08/07/19,l,911 Hangup,2,844 AUTUMN LN,COR
,,19C070750,09:50:04 08/07/19,l,Cite Sign Off,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C070751,09:50:43 08/07/19,l,Property Check,4,7500 EL CERRITO RD,ELC
,,19C070752,09:51:04 08/07/19,l,911 Hangup,2,851 AUTUMN LN,COR
,,19C070758,10:04:23 08/07/19,l,Susp Vehicle,3,1015 MONTECITO DR,COR
,,19C070759,10:05:42 08/07/19,l,Welfare Check,2,120 W ONTARIO AVE;SPROUTS,COR
,,19C070760,10:09:32 08/07/19,l,Cite Sign Off,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C070761,10:10:22 08/07/19,l,Disturb Peace,3,702 W SIXTH ST;SOUTHWEST DEALERS INSURANCE,COR
,,19C070762,10:12:16 08/07/19,f,ZZSick,1,1168 PASEO TASCO CIR,COR
,,19C070763,10:14:19 08/07/19,l,Found Property,4,1155 VALENCIA RD; JAMESON PARK,COR
,,19C070764,10:21:11 08/07/19,f,ZZ Fire Test,2,90 W GRAND BLVD,COR
,,19C070765,10:22:26 08/07/19,f,ZZ Fire Test,2,80 W GRAND BLVD,COR
,,19C070766,10:24:44 08/07/19,l,Patrol Info,4,3555 GRAND OAKS; CHICK FIL A,COR
,,19C070767,10:37:15 08/07/19,l,Traffic Stop,4,S JOY ST & E TENTH ST,COR
,,19C070768,10:40:47 08/07/19,l,911 Hangup,2,2585 S MAIN ST; SOUTH HILLS CHURCH,COR
,,19C070769,10:41:07 08/07/19,lf,Accident Inj,1,23740 TEMESCAL CANYON RD,TEM
,,19C070770,10:41:43 08/07/19,l,Property Check,4,1635 KELLOGG AVE; KELLOGG PARK,COR
,,19C070771,10:49:28 08/07/19,l,Domestic Distur,2,1790 VIA PACIFICA # A105; PARCWOOD APARTMENTS; HEARD ONLY,COR
,,19C070773,10:55:36 08/07/19,l,Property Check,4,200 E GRAND BLVD,COR
,,19C070774,10:56:20 08/07/19,l,911 Hangup,2,685 N COTA ST,COR
,,19C070775,10:58:19 08/07/19,l,911 Hangup,2,2538 HIDDEN CREEK ST,COR
,,19C070776,10:58:47 08/07/19,l,Public Service,3,1910 FULLERTON AVE; VINTAGE TERRACE APTS,COR
,,19C070777,11:04:00 08/07/19,l,Found Property,4,BORDER AVE & BRENTWOOD CIR;LOBBY,COR
,,19C070778,11:06:45 08/07/19,l,Runaway,3,1808 S MAIN ST,COR
,,19C070779,11:06:54 08/07/19,l,911 Hangup,2,210 TELLER ST; PREPRODUCTION PLASTICS INC,COR
,,19C070780,11:08:37 08/07/19,l,911 Hangup,2,493 W ORANGE HEIGHTS LN,COR
,,19C070781,11:13:30 08/07/19,l,Property Check,4,185 MAGNOLIA AVE; LEE POLLARD HIGH SCHOOL,COR
,,19C070782,11:15:03 08/07/19,lf,ZZSick,1,E ONTARIO AVE & 15 SB OFF RAMP,COR
,,19C070783,11:17:36 08/07/19,l,911 Hangup,2,3594 NELSON ST,COR
,,19C070784,11:19:58 08/07/19,f,ZZChest Pains,1,123 S BUENA VISTA AVE ; test test,COR
,,19C070785,11:22:09 08/07/19,f,ZZSick,1,901 SAPPHIRE LN,COR
,,19C070786,11:24:55 08/07/19,l,Property Check,4,2125 STAGECOACH DR; STAGECOACH PARK,COR
,,19C070787,11:25:04 08/07/19,l,Suspicious Circ,3,921 S BELLE AVE; SENIOR CENTER,COR
,,19C070789,11:29:02 08/07/19,lf,ZZSick,1,225 W SIXTH ST; CITIZENS BANK,COR
YES,'Nature' garbled text (embedded symbol),19C070790,11:30:03 08/07/19,f,ZZFaint/Uncons,1,730 MAGNOLIA AVE; CORONA REGIONAL MEDICAL CENTER,COR
,,19C070791,11:31:33 08/07/19,l,Stranded Veh,3,MAGNOLIA AVE & N MCKINLEY ST,COR
,,19C070792,11:33:39 08/07/19,f,ZZCommrcal Alrm,1,1150 PASEO GRANDE; CESAR CHAVEZ ELEMENTARY SCHOOL,COR
,,19C070796,11:39:35 08/07/19,l,Annoying Calls,3,1320 WOODBROOK WAY; VILLAGE GROVE MHP,COR
,,19C070797,11:40:12 08/07/19,l,911 Hangup,2,1130 W SIXTH ST,COR
,,19C070798,11:42:34 08/07/19,l,Loitering,3,2191 SAMPSON AVE; CARPET IN CORP AT MCKINLEY COMMERCE CENTER,COR
,,19C070800,11:45:23 08/07/19,l,Property Check,4,1297 E ONTARIO AVE # 107; RUBIOS COSTAL GRILL,COR
,,19C070801,11:47:46 08/07/19,l,Property Check,4,W RINCON ST & CORYDON ST,COR
,,19C070803,11:51:21 08/07/19,l,911 Hangup,2,881 1/2 CORSICA DR,
YES,'Location' garbled/scrambled text,19C070804,11:55:02 08/07/19,l,Petty Theft P,4,1829 ROCKCREST DR;LL CONT,COR
,,19C070805,11:58:42 08/07/19,l,Drunk Driver,2,1353 W SIXTH ST; CHUCKWAGON BAR AND GRILL,COR
,,19C070806,12:08:05 08/07/19,l,Defraud Inkpr P,4,430 N MCKINLEY ST,COR
,,19C070807,12:17:27 08/07/19,l,Susp Person,3,1225 E ST,COR
,,19C070808,12:19:35 08/07/19,l,Accident,2,1215 MAGNOLIA AVE; MCDONALDS,COR
,,19C070809,12:21:32 08/07/19,l,Patrol Info,4,19494 RIVER ROCK RD,COR
,,19C070810,12:21:44 08/07/19,l,Patrol Info,4,18750 MINNESOTA RD,ELC
,,19C070812,12:27:59 08/07/19,l,Alarm Call,2,2615 TUSCANY ST;TARGET,COR
,,19C070814,12:35:01 08/07/19,l,Susp Person,3,MAGNOLIA AVE & RIMPAU AVE;KNIFE,COR
,,19C070815,12:35:28 08/07/19,l,Petty Theft P,4,912 BROOKWOOD DR ; LL CONT,COR
,,19C070816,12:40:46 08/07/19,l,Disturb Peace,3,E GRAND BLVD & E SECOND ST; LL CONT,COR
,,19C070817,12:41:03 08/07/19,l,Dist/Verbal,2,N COTA ST & MALLOY CT,COR
,,19C070818,12:45:57 08/07/19,l,Flag Down,4,N COTA ST & PUBLIC SAFETY WAY,COR
,,19C070819,12:52:07 08/07/19,l,Traffic Stop,4,W SECOND ST & W GRAND BLVD,COR
,,19C070822,12:59:11 08/07/19,l,911 Hangup,2,1688 PLUM ST,COR
,,19C070824,12:59:51 08/07/19,l,Ped Check,4,923 W SIXTH ST; PETERS BURGERS,COR
,,19C070825,13:00:33 08/07/19,l,911 Hangup,2,2585 S MAIN ST,COR
,,19C070827,13:02:23 08/07/19,l,Ped Check,4,1016 S WASHBURN AVE,COR
,,19C070828,13:02:25 08/07/19,l,Accident,2,MAGNOLIA AVE & E ONTARIO AVE,COR
,,19C070829,13:03:37 08/07/19,l,Hazard,3,1415 CIRCLE CITY DR,COR
,,19C070830,13:08:29 08/07/19,l,Susp Person,3,1406 W SIXTH ST; RALLYS AT ARBYS CENTER,COR
,,19C070831,13:14:01 08/07/19,l,911 Hangup,2,558 POWER GROVE,COR
YES,'Nature' garbled text (embedded symbol),19C070834,13:24:01 08/07/19,f,ZZFaint/Uncons,1,1820 RIMPAU AVE ; CENTENNIAL HIGH,COR
,,19C070835,13:26:25 08/07/19,l,Drunk In Public,2,1353 W SIXTH ST,COR
,,19C070836,13:28:07 08/07/19,l,Drunk In Public,2,W SIXTH ST & S SHERMAN AVE,COR
,,19C070837,13:30:17 08/07/19,l,Property Check,4,2331 KELLOGG AVE,COR
,,19C070838,13:33:49 08/07/19,l,Reckless Driver,3,S LINCOLN AVE & D ST,COR
,,19C070841,13:39:42 08/07/19,f,ZZGas Leak Maj,1,560 W RINCON ST,COR
,,19C070842,13:42:33 08/07/19,l,Assist Othr Dpt,3,506 W RINCON ST,COR
,,19C070844,13:45:34 08/07/19,f,ZZFall,1,737 MAGNOLIA AVE ;BROOKDALE ; FRNT LOBBY,COR
,,19C070845,13:49:44 08/07/19,l,Veh Burg I/P,2,450 N MCKINLEY ST,COR
,,19C070846,13:50:44 08/07/19,l,Follow Up,4,655 LANCER LN,COR
,,19C070848,13:53:48 08/07/19,l,911 Hangup,2,1359 W SIXTH ST ;ALL SHADE GLASS TINTING,COR
,,19C070849,13:54:12 08/07/19,f,ZZSick,1,2748 FASHION DR # 302,COR
,,19C070850,13:59:55 08/07/19,l,Property Check,4,100 E ONTARIO AVE,COR
,,19C070851,14:01:40 08/07/19,l,Additional Info,4,1550 E ONTARIO AVE; LL CONT,COR
,,19C070853,14:02:27 08/07/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C070854,14:04:04 08/07/19,l,Citizen Contact,3,730 PUBLIC SAFETY WAY,COR
,,19C070856,14:04:52 08/07/19,l,911 Hangup,2,2538 HIDDEN CREEK ST,COR
,,19C070857,14:05:21 08/07/19,f,ZZMedical Alert,1,521 N MCKINLEY ST,COR
,,19C070858,14:05:24 08/07/19,f,ZZAA MedicalAid,1,511 TERMINO AVE,COR
,,19C070859,14:06:24 08/07/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C070860,14:06:31 08/07/19,l,Welfare Check,2,2538 HIDDEN CREEK ST ;VOIP,COR
,,19C070862,14:09:39 08/07/19,l,911 Hangup,2,2538 HIDDEN CREEK ST,COR
,,19C070864,14:14:28 08/07/19,l,Traffic Stop,4,EL CERRITO RD & 15 SB ON RAMP,COR
,,19C070865,14:15:00 08/07/19,l,Petty Theft,3,785 N MAIN ST; ARCO AM PM,COR
,,19C070866,14:18:30 08/07/19,f,ZZBleeding,1,1353 W SIXTH ST,COR
,,19C070869,14:21:55 08/07/19,f,ZZSick,1,2155 ADRIENNE DR,COR
,,19C070870,14:28:40 08/07/19,l,CMC Violation,4,2455 ANSELMO DR; MONSTER ENERGY ; TRASH DIGGING,COR
,,19C070872,14:33:00 08/07/19,l,Fraud Past,4,2197 STONERIDGE DR # 12; LL CONT C4,COR
,,19C070873,14:35:22 08/07/19,l,911 Hangup,2,805 S RAMONA AVE,COR
,,19C070874,14:39:18 08/07/19,l,Patrol Info,4,1709 SHERBORN ST,COR
,,19C070875,14:45:39 08/07/19,l,Disturb Peace,3,1406 W SIXTH ST,COR
,,19C070877,14:48:34 08/07/19,l,911 Hangup,2,911 BLOSSOM HILL DR,COR
,,19C070878,14:52:32 08/07/19,l,911 Hangup,2,705 N MAIN ST,COR
,,19C070879,14:54:47 08/07/19,l,911 Hangup,2,505 S BUENA VISTA AVE,COR
,,19C070880,14:55:11 08/07/19,l,911 Hangup,2,922 S VICENTIA AVE,COR
,,19C070881,14:56:31 08/07/19,f,ZZSick,1,4331 ALTIVO LN,COR
,,19C070882,15:02:42 08/07/19,l,Follow Up,4,730 PUBLIC SAFETY WAY,COR
,,19C070883,15:04:16 08/07/19,l,Follow Up,4,585 EBBCREEK ST # I,COR
,,19C070884,15:07:46 08/07/19,l,Follow Up,4,510 S MAIN ST; CORONA ANTIQUE MALL,COR
,,19C070885,15:23:50 08/07/19,l,Follow Up,4,1950 COMPTON AVE # 110; AEGIS SECURITY,COR
,,19C070886,15:25:57 08/07/19,l,Patrol Info,4,19211 CONSUL AVE,ELC
,,19C070887,15:38:51 08/07/19,f,ZZBleeding,1,200 N LINCOLN AVE;#220,COR
,,19C070888,15:41:44 08/07/19,l,Dist/Physical,1,1290 E ONTARIO AVE; WALMART,COR
,,19C070889,15:43:00 08/07/19,l,Stalking Past,3,BORDER AVE & VIA PACIFICA ; FRONT COUNTER,COR
,,19C070890,15:51:52 08/07/19,l,Test,4,730 PUBLIC SAFETY WAY,COR
,,19C070891,15:53:12 08/07/19,l,Alarm Call,2,430 RIVER RD;#E;AS YOU LIKE IT CATERING,COR
,,19C070894,16:04:47 08/07/19,l,Lewd Conduct,2,E GRAND BLVD & N JOY ST,COR
,,19C070895,16:06:35 08/07/19,f,ZZPublicSrvceF,2,1384 ORANGEWOOD SQ,COR
,,19C070898,16:08:29 08/07/19,l,Silent Comm 211,1,1189 MAGNOLIA AVE;CITIBANK,COR
,,19C070899,16:08:35 08/07/19,l,Petty Theft P,4,2785 CABOT DR;#7-101;FRONT LOBBY,COR
,,19C070901,16:09:35 08/07/19,l,Patrol Info,4,2781 S LINCOLN AVE,COR
,,19C070902,16:19:43 08/07/19,l,Annoying Calls,3,1141 W SIXTH ST;ALBERTOS;LL CONT,COR
,,19C070904,16:21:39 08/07/19,l,Patrol Info,4,20121 WINTON ST;CODE 5,ELC
,,19C070907,16:27:39 08/07/19,l,911 Hangup,2,4593 TEMESCAL CANYON RD,COR
,,19C070910,16:30:17 08/07/19,f,ZZBleeding,1,2217 YALE CIR,COR
,,19C070913,16:36:12 08/07/19,f,ZZSeizure,1,N JOY ST & E RINCON ST,COR
,,19C070916,16:39:37 08/07/19,l,Drunk Driver,2,MAGNOLIA AVE & RIMPAU AVE,COR
,,19C070917,16:39:53 08/07/19,l,911 Hangup,2,881 CORSICA DR,COR
,,19C070918,16:42:22 08/07/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C070921,16:44:41 08/07/19,l,Assist Othr Dpt,3,N JOY ST & E RINCON ST,COR
,,19C070922,16:46:43 08/07/19,f,ZZBreathing,1,1363 PLEASANT VIEW AVE,COR
,,19C070923,16:51:16 08/07/19,l,Property Check,4,190 W CHASE DR,COR
,,19C070924,16:52:41 08/07/19,l,Walk Away,3,800 S MAIN ST; CORONA REGIONAL MEDICAL CENTER,COR
,,19C070925,16:53:49 08/07/19,l,Petty Theft P,4,251 W RINCON;#211; LL CONT,
,,19C070926,16:54:58 08/07/19,l,Auto Theft Past,3,1990 POMONA RD,COR
,,19C070927,17:02:10 08/07/19,l,Domestic Distur,2,CITRUS COMMUNITY PARK,COR
,,19C070928,17:02:41 08/07/19,l,Found Adult,2,915 N MCKINLEY ST; CFD 4,COR
,,19C070929,17:02:52 08/07/19,l,Disturb Peace,3,780 N MAIN ST; MY GYM,COR
,,19C070930,17:11:14 08/07/19,l,Petty Theft P,4,550 HIDDEN VALLEY PKWY; STATER BROS MARKETS,COR
,,19C070931,17:12:15 08/07/19,l,Alarm Call,2,605 ALTA VISTA AVE,COR
,,19C070932,17:15:37 08/07/19,l,Annoying Calls,3,3542 LEHIGH CIR;,COR
,,19C070934,17:18:25 08/07/19,l,Alarm Call,2,191 BUSINESS CENTER DR,COR
,,19C070935,17:27:36 08/07/19,f,ZZSick,1,1384 ORANGEWOOD SQ,COR
,,19C070936,17:30:52 08/07/19,l,Patrol Info,4,W ONTARIO AVE & S MAIN ST,COR
,,19C070938,17:41:31 08/07/19,l,Cross Report,2,1312 HERMOSA DR ;DPSS X/RPT,COR
,,19C070939,17:46:00 08/07/19,l,911 Hangup,2,1626 TURQUOISE DR,COR
,,19C070940,17:46:23 08/07/19,l,911 Hangup,2,598 SANTANA WAY,COR
,,19C070942,17:53:02 08/07/19,l,Vandalism Past,4,1284 CIRCLE CITY DR # B,COR
,,19C070945,18:00:56 08/07/19,l,Fraud Past,4,1199 MAGNOLIA AVE; CARLS JR,COR
